0001_030	यह है मोटा राजा
3638_026	उन्होंने गांधी को हमेशा शाकाहारी बने रहने
3640_013	मां से बालक मोहन को धार्मिक सहिष्णुता
3642_026	अहिंसा की सीख भी मिली
3643_037	बच्चों को अच्छी परवरिश देने की नीयत से
3644_039	मोहनदास के पिता अपने परिवार को रहने
3645_019	के लिए पोरबंदर से राजकोट ले आए
3647_002	मोहनदास को अंग्रेज़ी की शिक्षा दी गई
3649_026	शादी कस्तूरबा से कर दी गई
3650_060	वो राजकोट की ही रहने वाली थीं और
3651_019	शादी के वक़्त कस्तूरबा
3653_015	उस दौर में मोहनदास गांधी
3654_002	एक बाग़ी नौजवान थे
3655_080	परिवार की परंपरा के ख़िलाफ़ जाकर
3656_013	मोहनदास करमचंद गांधी ने चोरी करने
3657_057	शराब पीने और मांसाहार करने जैसे
3658_019	कई काम शुरू कर दिए थे
3659_078	फिर भी उस उम्र में मोहनदास को
3660_026	अपने अंदर सुधार लाने की ख़्वाहिश थी
3662_092	वे प्रायश्चित करते थे
3663_056	इसका विस्तार से वर्णन उन्होंने
3664_035	अपनी किताब सत्य के प्रयोग में किया है
3665_015	जब मोहनदास करमचंद गांधी के पिता मृत्युशैया पर थे
3666_043	मोहनदास उन्हें छोड़कर अपनी पत्नी
3667_002	के पास चले गए और
3668_092	उसी वक़्त उनके पिता का निधन हो गया
3669_006	इस घटना के बाद गांधी को
3670_019	अपने व्यवहार पर बहुत पछतावा हुआ
3671_032	उनके पहले बच्चे का निधन
3672_076	जन्म के कुछ ही समय बाद हो गया
3673_015	तो गांधी ने इसे अपने पाप के लिए
3674_015	ईश्वर का दंड माना था
3675_002	अपने पिता की मौत के वक़्त
3676_026	उनके पास न होने पर गांधी ने कहा था कि
3677_009	मैं बहुत शर्मिंदा था और ख़ुद को अभागा मानता था
3679_006	जब मैंने उन्हें देखा तो ये सोचा कि
3680_042	अगर वासना मुझ पर हावी नहीं हुई होती
3682_076	मोहनदास गांधी बम्बई के भावनगर कॉलेज में
3683_002	पढ़ाई कर रहे थे लेकिन वो वहां ख़ुश नहीं थे
3684_077	तभी उन्हें लंदन के मशहूर इनर टेम्पल में क़ानून की
3685_032	पढ़ाई करने जाने का प्रस्ताव मिला
3686_055	परिवार के बुज़ुर्गों ने मोहनदास को समझाया कि
3687_006	विदेश पढ़ने जाने पर वो ज़ात से बाहर कर दिए जाएंगे
3688_078	लेकिन बड़ों के ऐतराज़ को दरकिनार कर के
3689_027	गांधी पढ़ने के लिए लंदन चले गए
3690_051	लंदन में मोहनदास गांधी पूरी तरह
3691_042	पश्चिमी रंगढंग में रंग गए
3692_032	लेकिन लंदन में उस वक़्त चल रहे
3694_020	उन्हें अपने लिए भाईचारा दिखा और वो उससे जुड़ गए
3695_037	साथ ही लंदन की थियोसॉफिकल सोसाइटी से भी
3696_027	उन्हें अपने बचपन में मिली हिंदू मान्यताओं की
3697_077	सीख की ओर लौटने की प्रेरणा मिली
3698_002	जो मोहनदास की मां ने सिखाए थे
3699_005	शाकाहारी भोजन शराब से तौबा और
3700_097	यौन संबंध से दूरी बनाकर
3701_066	मोहनदास दोबारा अपनी जड़ों की तरफ़ लौटने लगे
3702_013	थियोसॉफ़िकल सोसाइटी की प्रेरणा से
3703_008	उन्होंने विश्व बंधुत्व का अपना सिद्धांत बनाया जिस में
3704_057	सभी इंसानों और धर्मों को मानने वालों को बराबरी
3705_027	का दर्ज़ा देने का सपना था
3706_060	क़ानून की पढा़ई पूरी करने के बाद
3707_006	मोहनदास गांधी भारत लौट आए
3708_042	और वक़ालत करने लगे
3709_072	वो अपना पहला मुक़दमा हार गए
3710_043	इसी दौरान उन्हें एक अंग्रेज़ अधिकारी के घर से
3711_047	बाहर निकाल दिया गया
3712_015	इस घटना से बेहद अपमानित
3713_080	मोहनदास गांधी को दक्षिण अफ्रीका
3714_042	में काम करने का प्रस्ताव मिला
3715_092	जो उन्होंने फ़ौरन स्वीकार कर लिया
3716_013	दक्षिण अफ्रीका में जब वो ट्रेन के फर्स्ट क्लास डिब्बे में
3717_080	सफ़र कर रहे थे
3718_019	तो मोहनदास गांधी को एक अंग्रेज़ ने सामान समेत डिब्बे से
3720_019	दक्षिण अफ्रीका में अप्रवासी
3721_050	भारतीयों से हो रहे सौतेले बर्ताव
3722_079	और भेदभाव के ख़िलाफ़ उन्होंने
3724_092	इंडियन कांग्रेस की स्थापना की
3725_027	वहां के नटाल सूबे में गांधी ने भारतीयों को
3726_037	बाक़ी समाज से अलग रखने
3727_093	के ख़िलाफ़ लड़ना शुरू किया
3728_003	दक्षिण अफ्रीका में भारतीयों के अधिकारियों के लिए इस संघर्ष
3729_039	के दौरान ही गांधी ने
3731_098	और सत्याग्रह जैसे सिद्धांतों के प्रयोग शुरू किए
3732_026	जो उनके अहिंसा के व्यापक
3733_046	विचार का हिस्सा थे
3734_026	इसी दौरान गांधी ने ब्रह्मचर्य का प्रण लिया और
3735_094	सफ़ेद धोती पहननी शुरू कर दी
3738_037	दक्षिण अफ्रीका में रह रहे भारतीयों
3740_005	के ख़िलाफ़ आंदोलन शुरू किया
3741_019	इस आंदोलन के दौरान पहली
3742_077	बार मोहनदास गांधी ने
3743_009	दक्षिण अफ्रीका में काम कर रहे भारतीय मज़दूरों
3744_092	खनन कर्मियों और खेतिहर
3745_035	मज़दूरों को एकजुट किया
3746_073	और उनके अगुआ बने
3748_002	संघर्ष की मदद से मोहनदास गांधी ने
3750_043	नटाल से ट्रांसवाल तक
3751_032	विरोध की पदयात्रा निकालने का फ़ैसला किया
3752_026	इसे उन्होंने आख़िरी सविनय अवज्ञा का नाम दिया
3753_006	इस यात्रा के दौरान ही गांधी को
3754_002	गिरफ़्तार कर लिया गया
3755_067	उन्हें नौ महीने क़ैद की सज़ा सुनाई गई
3756_037	लेकिन उनकी शुरू की गई हड़ताल और फैल गई
3757_050	जिस के बाद दक्षिण अफ्रीका की
3759_013	भारतीयों पर लगाया गया टैक्स वापस लेना पड़ा
3760_079	और गांधी को जेल से रिहा करने
3761_018	पर मजबूर होना पड़ा
3762_015	दक्षिण अफ्रीका में ब्रितानी
3763_080	हुकूमत के विरुद्ध गांधी की
3764_047	इस जीत को इंग्लैंड के
3766_046	इस क़ामयाबी के बाद गांधी अंतरराष्ट्रीय स्तर
3767_092	पर जानेपहचाने जाने लगे
3768_088	दक्षिण अफ्रीका में अपने आंदोलन की क़ामयाबी के बाद
3769_046	मोहनदास गांधी एक विजेता के तौर पर स्वदेश लौटे
3770_024	भारत आने के बाद मोहनदास गांधी और
3771_005	कस्तूरबा ने तय किया
3772_078	कि वो रेलवे के तीसरे दर्ज़े के डिब्बे में
3773_005	पूरे भारत का भ्रमण करेंगे
3774_064	इस भारत यात्रा के दौरान गांधी ने
3776_052	और आबादी को देखा तो उन्हें ज़बरदस्त सदमा लगा
3777_073	इसी दौरान गांधी ने अंग्रेज़ हुकूमत
3778_073	के लाए हुए काले
3779_047	क़ानून रौलट एक्ट के विरोध का एलान किया
3780_032	इस क़ानून के तहत सरकार
3781_046	को ये ताक़त मिल गई थी कि
3782_076	वो किसी भी नागरिक को केवल चरमपंथ
3783_050	के शक में गिरफ़्तार कर जेल में डाल सकती थी
3784_056	मोहनदास गांधी के कहने पर पूरे देश
3785_019	में हज़ारों लोग इस एक्ट के ख़िलाफ़ सड़कों पर उतरे
3786_073	तमाम शहरों में विरोधप्रदर्शन हुए
3787_005	लेकिन इस दौरान कई जगह हिंसा भड़क उठी
3789_019	की भीड़ पर गोली चलवा दी
3790_079	जिस में चार सौ से ज़्यादा लोग मारे गए और
3792_077	इस हत्याकांड के बाद गांधी को ये यक़ीन हो गया
3793_076	कि उन्हें भारत की आज़ादी का
3794_005	आंदोलन शुरू करना चाहिए
3795_027	अपनी बढ़ती लोकप्रियता की वजह
3796_024	से गांधी अब भारतीय राष्ट्रीय कांग्रेस का
3797_050	प्रमुख चेहरा बन गए थे
3798_079	वो ब्रिटेन से भारत की आज़ादी के आंदोलन के
3799_024	भी अगुवा बन गए
3800_009	संघर्ष के लिए महात्मा गांधी ने
3801_073	भारतीय राष्ट्रीय कांग्रेस को जनमानस
3802_082	के बीच लोकप्रिय पार्टी बनाया
3803_067	उससे पहले कांग्रेस अमीर भारतीयों का
3804_009	एक समूह भर हुआ करती थी
3806_037	के आधार पर भारत के लिए आज़ादी मांगी
3807_073	गांधी के अहिंसक आंदोलन की अपील
3808_035	पर होने वाले विरोधप्रदर्शनों को भारतीय समाज के सभी वर्गों
3809_064	और धर्मों का समर्थन मिलने लगा
3810_024	उन्होंने ब्रिटिश हुकूमत के ख़िलाफ़ लोगों से
3811_002	के असहयोग आंदोलन की शुरुआत की
3812_076	गांधी की अपील पर भारत की जनता ने
3813_098	ब्रिटिश सामानों का बहिष्कार करना शुरू कर दिया
3814_015	इसके जवाब में ब्रितानी हुकूमत ने गांधी
3815_019	को देशद्रोह के आरोप में गिरफ़्तार कर लिया
3816_042	उन्हें दो साल तक जेल में रखा गया
3818_019	आरोप लगाया तो उन्होंने कहा कि
3820_024	क्योंकि ये भारतीय होने का सबसे आसान
3822_080	अब अंग्रेज़ हुकूमत के लिए गांधी के आंदोलन
3823_046	और उनकी मांगों की अनदेखी
3824_026	करना मुमकिन नहीं रह गया था
3826_005	ने भारत के राजनीतिक भविष्य पर बातचीत
3827_028	के लिए लंदन में एक गोलमेज सम्मेलन बुलाया
3828_026	लेकिन इस चर्चा से अंग्रेज़ों
3829_097	ने सभी भारतीयों को दूर ही रखा
3831_047	उन्होंने अंग्रेज़ों के नमक क़ानून
3832_035	के ख़िलाफ़ अभियान शुरू कर दिया
3833_034	उस वक़्त के ब्रिटिश क़ानून
3834_080	के मुताबिक़ भारतीय नागरिक
3835_042	न तो नमक जमा कर सकते थे
3836_013	और न ही उसे बेच सकते थे
3837_019	इसके चलते भारतीयों को अंग्रेज़ों
3839_080	गांधी ने हज़ारों लोगों की
3840_039	भीड़ के साथ डांडी यात्रा निकाली और
3841_015	ब्रिटिश हुकूमत के प्रतीकात्मक विरोध
3843_050	इसके चलते अंग्रेज़ों ने उन्हें गिरफ़्तार कर लिया
3844_097	गांधी का आंदोलन बहुत फैल गया
3845_078	हज़ारों लोगों ने अंग्रेज़ हुकूमत को टैक्स
3846_082	और राजस्व अदा करने से मना कर दिया
3847_052	आख़िरकार अंग्रेज़ सरकार को झुकना पड़ा
3848_006	तब गांधी गोलमेज सम्मेलन में
3849_002	भाग लेने के लिए लंदन रवाना हो गए
3851_002	गांधी ने कहा था
3852_018	इस एक मुट्ठी नमक से मैं ब्रिटिश
3853_047	साम्राज्य की जड़ें हिला रहा हूं
3854_034	गांधी लंदन में हो रहे गोलमेज़ सम्मेलन में
3855_002	शामिल होने वाले भारतीय राष्ट्रीय कांग्रेस के
3858_092	पहुंचकर उन्होंने भारत की
3859_050	एक ताक़तवर छवि पेश की थी
3860_057	लेकिन गोलमेज सम्मेलन गांधी के लिए विफल हो गया
3861_015	ब्रिटिश साम्राज्य भारत को आज़ाद
3862_097	करने को तैयार नहीं था
3864_020	सिख और दूसरे भारतीय प्रतिनिधि गांधी के साथ नहीं थे
3865_006	क्योंकि उन्हें नहीं लगता था कि
3866_076	गांधी सभी भारतीयों का प्रतिनिधित्व करते थे
3867_024	हालांकि गांधी को ब्रिटिश बादशाह
3868_073	जॉर्ज पंचम से मिलने का मौक़ा मिला
3869_018	साथ ही गांधी ने लंकाशायर स्थित
3871_047	इन सार्वजनिक मुलाक़ातों से
3873_056	साथ ही भारत की राष्ट्रवादी मांग के लिए ब्
3874_056	रिटिश जनता की हमदर्दी भी उन्होंने हासिल की
3875_064	गांधी के इस ब्रिटेन दौरे के बारे में
3876_026	ताक़तवर ब्रिटिश राजनेता विंस्टन चर्चिल ने कहा था
3877_037	ये बहुत डरावना और घृणास्पद है कि
3878_026	श्री गांधी जो एक देशद्रोही और
3879_009	औसत दर्ज़े के वक़ील हैं
3880_034	अब अपनी नुमाइश फ़क़ीर के तौर पर कर रहे हैं
3882_042	भारतीय राष्ट्रीय कांग्रेस के अध्यक्ष का
3884_035	पार्टी के भीतर वो हाशिए पर चले गए थे
3885_015	जब चर्चिल ने नाज़ियों के ख़िलाफ़ जंग में भारत
3886_037	को ब्रिटेन का समर्थन करने को कहा
3888_026	तब तक ब्रिटेन का नाज़ियों के ख़िलाफ़ जंग
3889_080	में समर्थन नहीं करना चाहिए
3890_056	जब तक भारतीय अपने ही घर में ग़ुलाम हैं
3891_006	अब गांधी ने ब्रिटिश हुकूमत के ख़िलाफ़ एक नये
3894_092	आंदोलन की शुरुआत में ही गांधी और उनकी पत्नी
3895_024	कस्तूरबा को जेल में बंद कर दिया गया
3896_046	इसके बाद गांधी को जेल से रिहा करने की मांग को
3897_079	लेकर पूरे देश में हिंसक आंदोलन शुरू हो गए
3898_015	लेकिन ब्रिटिश प्रधानमंत्री विंस्टन चर्चिल
3899_078	झुकने के लिए तैयार नहीं थे
3900_006	जेल में ही गांधी की पत्नी कस्तूरबा की मौत हो गई
3902_024	गांधी को जेल से रिहा कर दिया गया
3905_008	या इस कोशिश में अपना बलिदान कर देना चाहिए
3907_015	का जीवन जीने के लिए राज़ी नहीं हैं
3908_060	भारतीयों के बीच बढ़ती आज़ादी की मांग
3911_005	मजबूर होकर ब्रिटिश सरकार ने
3912_051	भारत की आज़ादी के लिए चर्चा करनी शुरू की
3913_027	लेकिन इसका नतीजा वो नहीं निकला
3914_050	जिसके लिए गांधी इतने दिनों से संघर्ष कर रहे थे
3915_013	माउंटबेटन प्लान के तहत भारत
3916_057	का विभाजन कर के भारत
3917_006	और पाकिस्तान नाम के दो
3918_067	स्वतंत्र देश बनाए गए
3921_042	आज़ादी का जश्न मना रहा था
3922_013	लेकिन एकजुट देश का गांधी
3923_045	का सपना बिखर गया था
3925_009	पर हत्याएं और ख़ूनख़राबा हुआ
3926_026	क़रीब एक करोड़ लोगों को
3927_050	अपना घरबार छोड़ना पड़ा
3928_027	दुखी होकर गांधी दिल्ली शहर छोड़
3929_051	कर कलकत्ता रवाना हो गए
3930_026	ताकि हिंसा को रोक कर वहां
3931_032	शांति स्थापित कर सकें
3933_051	कलकत्ता से गांधी दिल्ली लौटे ताकि
3934_046	वहां रह रहे उन मुसलमानों की
3936_035	जिन्होंने पाकिस्तान जाने के बजाय भारत
3937_076	में ही रहने का फ़ैसला किया था
3938_080	गांधी ने इन मुसलमानों के हक़
3940_080	इसी दौरान एक दिन जब वो दिल्ली के
3941_050	बिड़ला हाउस में एक प्रार्थना सभा में जा रहे थे
3943_068	गांधी को सीने में तीन गोलियां मारी गईं
3944_042	ज़्यादातर भारतीयों के लिए
3945_097	महात्मा गांधी की मौत एक राष्ट्रीय आपदा थी
3946_056	दिल्ली में जब महात्मा गांधी की
3948_047	तो उस में दस लाख से ज़्यादा
3949_026	लोग शामिल हुए थे
3950_027	यमुना किनारे उनका अंतिम
3952_024	पूरी दुनिया में लोगों ने अहिंसा
3953_024	और शांति के पुजारी इस शख़्स
3956_093	का सपना पूरा होते नहीं देख सके
3958_006	मौत के बीच ज़िंदगी अपना संघर्ष जारी रखती है
3960_037	चारों ओर अंधेरे के बीच रौशनी चमकती रहती है
3961_068	दुनिया में सबसे पहले भैंस के दूध से बनाया पावडर
3962_047	अमूल को बनाया ब्रांड
3963_068	अमर उजाला नई दिल्ली
3964_029	वर्गीज कुरियन दूध की कमी से परेशान भारत को
3965_072	दुनिया का सर्वाधिक दूध उत्पादक देश बनाने वाले
3966_079	शख्स का आज जन्मदिन है
3967_077	श्वेत क्रांति के जनक माने जाने वाले इस शख्स ने
3968_077	देश को सहकारी दुग्ध उद्योग
3969_024	का एक मॉडल दिया
3970_005	अपनी सोच से उन्होंने दिखा दिया कि
3971_019	एक छोटे किसान पर
3972_009	भी भरोसा किया जाए तो वह
3973_079	किस तरह चीजों को बदल सकता है
3976_019	वर्गीज कुरियन के बारे में
3979_015	लेकिन उनकी एक सकरात्मक सोच ने दूध के
3980_015	क्षेत्र में दुनिया में एक क्रांति ला दी
3982_092	और आज उनके प्रयासों को लोग याद कर रहे हैं
3983_093	भैंस के दूध से पावडर बनाने वाले
3984_047	कुरियन दुनिया के पहले व्यक्ति थे
3985_093	इससे पहले गाय के दूध से पावडर
3986_018	का निर्माण किया जाता था
3987_078	साधारण परिवार में पैदा लेने वाले
3989_080	ग्रेजुएशन और गिंडी कॉलेज ऑफ
3990_077	इंजीनियरिंग से इंजीनियरिंग की पढ़ाई की
3991_026	इसके बाद उन्होंने जमशेदपुर स्थित टिस्को में
3992_006	काम करना शुरू कर दिया
3993_077	इस बीच भारत सरकार ने उन्हें डेयरी इंजीनियरिंग में
3994_037	पढ़ाई करने के लिए स्कॉलरशिप दिया
3995_024	अमेरिका से लौटने के बाद गैराज में
3996_042	शुरू किया अमूल वर्गीज कुरियन वर्गीज कुरियन बंगलूरू के
3998_047	एनिमल हजबेंड्री एंड डेयरिंग में
4000_026	वहां मिशीगन स्टेट यूनिवर्सिटी में
4002_051	मास्टर की डिग्री हासिल की
4003_032	इस दौरान उन्होंने अपने पसंदीदा विषय डेयरी
4004_092	इंजीनियरिंग में विशेष रुचि दिखाई
4005_027	अमेरिका से लौटने के बाद वर्गीज ने गुजरात के
4006_093	आणंद में एक छोटे से गैराज
4007_050	में अमूल की शुरुआत की
4008_079	उन्होंने डेयरी उत्पादन और किसानों को
4010_064	उन्होंने एक परिचित त्रिभुवन भाई पटेल के
4012_035	इसमें उन्होंने ज्ञान और प्रबंधन पर
4013_005	आधारित संस्थाओं का विकास किया
4015_097	दो गांवों के लोगों को जोड़कर डेयरी
4016_005	सहाकारित संघ की स्थापना की
4017_060	सरदार वल्लभ भाई पटेल ने की थी
4018_037	पहल वर्गीज कुरियन वर्गीज कुरियन
4019_034	सरदार वल्लभ भाई पटेल की पहल और
4020_050	जिला सहकारी संघ लिमिटेड के
4023_050	इसके बाद त्रिभुवनदास ने
4024_003	उन्हें एक डेयरी प्रसंस्करण उद्योग बनाने के लिए कहा
4025_079	जहां से अमूल का जन्म हुआ
4027_034	अमूल की सफलता को देखते हुए
4028_078	तत्कालीन प्रधानमंत्री लालबहादुर शास्त्री ने
4030_080	राष्ट्रीय दुग्ध विकास बोर्ड एनडीडीबी
4031_080	का गठन किया और
4032_043	उन्हें बोर्ड का अध्यक्ष बनाया गया
4035_005	भारत दुनिया का सबसे बड़ा
4036_092	दुग्ध उत्पादक देश बन गया
4037_080	वर्गीज कुरियन वर्गीज कुरियन ऑपरेशन ब्लड
4038_027	से भारत दुनिया का
4039_035	सबसे बड़ा दुग्ध उत्पादक देश बन गया
4042_042	अध्यक्ष के तौर पर सेवाएं दीं
4043_072	साठ के दशक में भारत में दूध की
4044_019	खपत जहां दो करोड़ टन थी
4047_077	कुरियन को भारत सरकार ने
4048_037	पद्म विभूषण से सम्मानित किया था
4049_042	इसके साथ ही रैमन मैग्सेसे पुरस्कार
4050_024	कार्नेगी वटलर शांति पुरस्कार और अमेरिका के
4051_019	इंटरनेशनल पर्सन ऑफ द ईयर सम्मान से भी नवाजा गया
4052_005	एक शहर में बहुत ही ज्ञानी प्रतापी साधु महाराज आये हुए थे
4053_079	बहुत से दीन दुखी
4054_073	परेशान लोग उनके पास उनकी
4055_097	कृपा दृष्टि पाने हेतु आने लगे
4056_019	ऐसा ही एक दीन दुखी
4057_008	गरीब आदमी उनके पास आया और साधु महाराज से बोला
4058_076	महाराज में बहुत ही गरीब हूँ
4059_046	मेरे ऊपर कर्जा भी है
4060_013	मैं बहुत ही परेशान हूँ
4061_064	मुझ पर कुछ उपकार करें
4062_029	साधु महाराज ने उसको एक चमकीला नीले रंग का पत्थर दिया
4063_030	और कहा कि यह कीमती पत्थर है
4064_046	जाओ जितनी कीमत लगवा सको लगवा लो
4065_072	वो आदमी वहां से चला गया और
4066_018	उसे बचने के इरादे से अपने जान पहचान वाले
4067_013	एक फल विक्रेता के पास गया और
4068_029	उस पत्थर को दिखाकर उसकी कीमत जाननी चाही
4070_034	महात्मा ने तुम्हें ऐसे ही दे दिया है
4071_076	हाँ यह सुन्दर और चमकदार दिखता है
4072_030	तुम मुझे दे दो
4074_092	वो आदमी निराश होकर अपने एक अन्य जान पहचान
4075_052	वाले के पास गया जो की एक बर्तनों का व्यापारी था
4076_014	उनसे उस व्यापारी को भी वो पत्थर दिखाया और
4077_057	उसे बचने के लिए उसकी कीमत जाननी चाही
4080_005	वह आदमी सोचने लगा की इसके कीमत और
4081_005	भी अधिक होगी और यह सोच वो वहां से चला आया
4083_002	सुनार ने उस पत्थर को ध्यान से देखा और बोला ये
4085_088	वो आदमी अब समझ गया था कि यह बहुत अमुल्य है
4086_026	उसने सोचा क्यों न मैं इसे हीरे के व्यापारी को दिखाऊं
4087_057	यह सोच वो शहर के सबसे बड़े हीरे के व्यापारी के पास गया
4088_061	उस हीरे के व्यापारी ने जब वो पत्थर देखा तो देखता रह गया
4090_026	उसने उस पत्थर को माथे से लगाया और
4091_073	और पुछा तुम यह कहा से लाये हो
4092_026	यह तो अमुल्य है
4093_035	यदि मैं अपनी पूरी सम्पति बेच दूँ तो
4094_014	भी इसकी कीमत नहीं चुका सकता
4095_027	हम अपने आप को कैसे आँकते हैं
4096_076	क्या हम वो हैं जो राय दूसरे हमारे बारे में बनाते हैं
4098_009	जीवन का कोई मोल नहीं लगा सकता
4099_072	आप वो कर सकते हैं जो आप
4100_026	अपने बारे में सोचते हैं
4101_003	कभी भी दूसरों के नेगेटिव कमैंट्स से अपने आप को कम मत आकियें
4102_008	एक मेंढकों की टोली जंगल के रास्ते से जा रही थी
4105_015	ऊपर खड़े सभी मेढक चिल्लाने लगे
4106_013	तुम दोनों इस गढ्ढे से नहीं निकल सकते
4107_072	गढ्ढा बहुत गहरा है
4108_035	तुम दोनों इसमें से निकलने की उम्मीद छोड़ दो
4109_046	उन दोनों मेढकों ने शायद ऊपर खड़े
4110_005	मेंढकों की बात नहीं सुनी और
4112_080	बाहर खड़े मेंढक लगातार कहते रहे
4113_076	तुम दोनों बेकार में मेहनत कर रहे हो
4114_076	तुम्हें हार मान लेनी चाहियें
4115_026	तुम दोनों को हार मान लेनी चाहियें
4116_005	तुम नहीं निकल सकते
4117_089	गड्ढे में गिरे दोनों मेढकों में से एक मेंढक ने ऊपर खड़े मेंढकों की बात सुन ली
4119_027	दूसरे मेंढक ने प्रयास जारी रखा
4120_015	वो उछलता रहा जितना वो उछल सकता था
4121_019	बहार खड़े सभी मेंढक लगातार कह रहे थे कि
4122_061	तुम्हें हार मान लेनी चाहियें पर वो मेंढक शायद उनकी बात नहीं सुन पा रहा था
4123_052	और उछलता रहा और काफी कोशिशों के बाद वो बाहर आ गया
4124_027	दूसरे मेंढकों ने कहा क्या तुमने हमारी बात नहीं सुनी
4125_079	उस मेंढक ने इशारा करके बताया की
4126_046	वो उनकी बात नहीं सुन सकता क्योंकि वो बेहरा है सुन नहीं सकता
4127_009	इसलिए वो किसी की भी बात नहीं सुन पाया
4128_027	वो तो यह सोच रहा था कि सभी उसका उत्साह बढ़ा रहे हैं
4131_009	इसलिए हमेशा सकारात्मक बोलें
4134_008	अपने ऊपर विश्वाश और सकारात्मक सोच से ही हमें सफलता मिलती है
4135_092	एक जंगल में बरगद का पेड़ था
4136_035	उस पेड़ के ऊपर एक चील घोंसला बनाकर रहती थी जहाँ उसने अंडे दे रखे थे
4137_014	उसी पेड़ के नीचे एक जंगली मुर्गी ने भी अंडे दे रखें थे
4138_019	एक दिन उस चील के अंडों में से एक अंडा नीचे गिरा
4139_046	और मुर्गी के अंडों में जाकर मिल गया
4140_029	समय बीता अंडा फूटा और चील का बच्चा उस अंडे से निकला
4142_009	वो मुर्गी के बांकी बच्चों के साथ बड़ा हुआ
4143_072	वह उन्ही कामों को करता जिन्हें एक मुर्गी करती है
4144_013	वो मुर्गी की तरह ही कुड़कुड़ाता
4145_073	जमीन खोद कर दाने चुगता और
4146_066	वो इतना ही ऊँचा उड़ पाता जितना की एक मुर्गी उड़ती है
4148_014	उसने अपनी मुर्गी माँ से पूछा की
4149_086	उस चिड़िया का क्या नाम है जो इतना ऊँचा बड़ी शान से उड़ रही है
4150_019	मुर्गी ने जबाब दिया वह एक चील है
4151_061	फिर चील के बच्चे ने पूछा माँ मैं इतना ऊँचा क्यों नहीं उड़ पाता
4152_061	मुर्गी बोली तुम इतना ऊँचा नहीं उड़ सकते क्योंकि तुम एक मुर्गे हो
4153_008	उसने मुर्गी की बात मान ली और मुर्गे की जिंदगी जीता हुआ एक दिन मर गया
4154_027	जो भी हम सोचते हैं या कुछ नया करने की कोशिश करते हैं
4156_097	कि तुम ऐसा नहीं कर सकते
4157_089	ऐसा नहीं हो सकता और हम अपना इरादा यह सोचकर बदल लेते हैं
4159_027	इसका मुख्य कारण है अपने ऊपर भरोसा न होना
4161_092	अपने काम पर भरोसा न होना
4163_047	अपने आप पर भरोसा रखें
4164_050	अपने आप को पहचाने
4165_019	दोस्तों अगर जीत निश्चित हो तो कायर भी लड़ जाते हैं
4166_057	बहादुर वो कहलाते हैं
4167_093	जो हार निश्चित हो
4168_014	फिर भी मैदान नहीं छोड़ते
4170_080	वह अपने खेतों में काम कर घर लौट रहा था
4171_009	रास्ते में ही एक हलवाई की दुकान थी
4172_092	उस दिन किसान ने कुछ ज्यादा काम कर लिया था
4173_002	और उसे भूख भी बहुत लग रही थी
4174_009	ऐसे में जब वह हलवाई की दुकान के पास से
4175_072	गुजरा तो उसे मिठाइयों की खुशबू आने लगी
4176_092	वह वहां खुद को रोके बिना नहीं रह पाया
4177_037	लेकिन उस दिन उसके पास ज्यादा पैसे नहीं थे
4178_047	ऐसे में वह मिठाई खरीद नहीं सकता था
4179_076	तब वह कुछ देर वहीं खड़े होकर मिठाइयों
4180_013	की सुगंध का आनंद लेने लगा
4181_029	जब मिठाईवाले ने किसान को मजे से उसकी दुकान
4182_037	की मिठाइयों की खूशबू का आनंद लेते देखा
4183_019	तब उससे किसान की खुशी देखी नहीं गई
4184_015	वह किसान के पास गया और बोला
4186_009	किसान हैरान हुआ और बोला कि
4187_002	मैंने तो मिठाई नहीं खरीदी और
4190_018	भले ही तुमने मिठाई नहीं ली हो
4191_086	लेकिन मेरी बनाई मिठाई की खुशबू का आनंद तो लिया है
4193_096	मिठाई की खुशबू लेना मिठाई खाने के बराबर ही है तो तुम्हें अब इसके पैसे देने होंगे
4194_080	किसान पहले थोड़ा घबराया
4195_002	लेकिन फिर थोड़ी सूझबूझ दिखाते हुए उसने अपनी जेब से
4196_061	कुछ सिक्के निकाले और उन्हें दोनों हाथों के बीच में डालकर खनकाया
4199_080	मेरे पैसे तो दो किसान ने कहा
4200_029	जैसे मिठाई की खुशबू का आनंद लेने मिठाई खाने के बराबर ही है
4201_066	वैसे ही सिक्कों की खनक सुनना भी पैसे लेने के बराबर ही है
4203_092	कई बार आपको जीवन में इस हलवाई के जैसे लोग भी मिल जाएंगे
4204_015	ऐसे में आप घबराएं नहीं
4205_096	सूझबूझ से इन्हें जवाब दें और समस्या से इस किसान की तरह ही बाहर निकल जाएं
